Team,Damage,Coreflame,Max Coreflame
=IMAGE("https://drive.google.com/uc?export=view&id=1PUvtFzEKIW0WTZozxKi--O9-2G0yJ5LT"),91%,8,8
=IMAGE("https://drive.google.com/uc?export=view&id=1XjuJ7mOGO7_aeoPhZAkP7HIARlUkY6YY"),84%,7,8
=IMAGE("https://drive.google.com/uc?export=view&id=1wZcYEnKw7NqJQiaDmMoy8N2HcQ8fJCpg"),83%,7,7
=IMAGE("https://drive.google.com/uc?export=view&id=1qAIwwdDiVjX0cWW_6I0j4pSaJs7RID9o"),82%,7,8
=IMAGE("https://drive.google.com/uc?export=view&id=185KN85AIRo4Z3TyYmd4cFe3ZVI6yBKF6"),82%,6,6
=IMAGE("https://drive.google.com/uc?export=view&id=1GK6JRMwg6RD0nAIQEp33SfG0LgZQA6J1"),79%,10,12
=IMAGE("https://drive.google.com/uc?export=view&id=14N2pMqfRGsxQ053pQML3vnvUqq5W2WTE"),79%,5,6
=IMAGE("https://drive.google.com/uc?export=view&id=1A1qnVZblVzdPKr1qqOms9pcqtly4W62x"),79%,5,5
=IMAGE("https://drive.google.com/uc?export=view&id=1YZ-R0t4-49k061scBNvZhxaKEeyYzfUE"),78%,9,9
=IMAGE("https://drive.google.com/uc?export=view&id=1kNtFaXN7ud3JqJqXkwuxJNA9_Zl5ebyk"),78%,?,?
=IMAGE("https://drive.google.com/uc?export=view&id=1uThFNWSizcfvbHoG_9kweEEVm-gDY-6P"),78%,?,?
=IMAGE("https://drive.google.com/uc?export=view&id=18YHfDiW5Csv_ZcwuB5V3CTWICoY0rieD"),77%,6,7
=IMAGE("https://drive.google.com/uc?export=view&id=1Vd_Ye_0UElwEEvDoE4t91d0GDlsSftav"),77%,?,?
=IMAGE("https://drive.google.com/uc?export=view&id=1LR6do4YIe-729uxIBJUcTAzk-KIRmpJo"),76%,?,?
=IMAGE("https://drive.google.com/uc?export=view&id=158lhXt4SWmwsEiWgacVuzEIwybo2PXOp"),73%,?,?
=IMAGE("https://drive.google.com/uc?export=view&id=1z9BrkDZ6yOEOAVw3MHjdvrQIHaydXVwa"),73%,?,?
=IMAGE("https://drive.google.com/file/d/1u787SPEgp3Fi9raf-ZCk99U9_jAit1a2/view?usp=sharing"),72%,?,?
=IMAGE("https://drive.google.com/uc?export=view&id=1BYdS67Uxvx0yyeVmMbud0uNHjz8_fnSh"),71%,?,?
=IMAGE("https://drive.google.com/uc?export=view&id=1kjAp16u7YBgbipxtlBOcNuiB_fBMzjqR"),71%,?,?
=IMAGE("https://drive.google.com/uc?export=view&id=1aMRv6wf-ObO8AdrqXen9jC8Fc2mtqy79"),69%,?,?
=IMAGE("https://drive.google.com/uc?export=view&id=1U_ejfBHqdKLG_wAsSIXl-WcH5PVjTn8l"),68%,?,?
=IMAGE("https://drive.google.com/file/d/1e4BAXIagMp-8ePFPcOj1vXFqq1TaUlxj/view?usp=sharing"),68%,?,?
=IMAGE("https://drive.google.com/uc?export=view&id=1JnuE4XlDDnPAQEJ1ZX7V_1SANqRqMwCC"),68%,?,?
=IMAGE("https://drive.google.com/uc?export=view&id=1fYu4zGhBnEqRTzuhFzr0BjDEDMS0v_-5"),67%,?,?
=IMAGE("https://drive.google.com/file/d/1y0OadfitZSFMkQN8KyLpmlV9aSE6Iqyy/view?usp=sharing"),66%,?,?
=IMAGE("https://drive.google.com/uc?export=view&id=1wA5dobwCgp0BzcsiTeu4kozr1vEOUQbS"),63%,?,?
=IMAGE("https://drive.google.com/file/d/1IFnc7AtB3vMZR1gCD1gvBsvbdkVpREDS/view?usp=sharing"),62%,?,?
=IMAGE("https://drive.google.com/uc?export=view&id=1c4QNeUyG1WmfHWgRrtk_ksTTwVvG4Qrt"),59%,?,?
=IMAGE("https://drive.google.com/uc?export=view&id=1SOwOrK4AI8nxopBu_w5lQPg3UlYfhS9w"),59%,?,?
=IMAGE("https://drive.google.com/file/d/11pQ0QnTl9yjmbxMmJsfetnOnCsejQ0aP/view?usp=sharing"),54%,?,?
