Team,Damage,Coreflame,Max Coreflame
=IMAGE("https://drive.google.com/uc?export=view&id=1CEjVngWCa790TaOEEuUU0n6ZJMvqccWb"),128%,9,11
=IMAGE("https://drive.google.com/uc?export=view&id=1qZZOU-t5vvupZh8C36XHYFJcvrCMHdww"),124%,8,10
=IMAGE("https://drive.google.com/uc?export=view&id=1tn9satmprwDuJXutzFplpcytw3HkRvDe"),119%,9,9
=IMAGE("https://drive.google.com/uc?export=view&id=1GlGbJcxgnq64qzH_nKniM1DDPA0-QbDP"),114%,8,10
=IMAGE("https://drive.google.com/uc?export=view&id=19R9tKCaRnXR4rla3ZYAfn-1KntgWxQJv"),111%,8,8
=IMAGE("https://drive.google.com/uc?export=view&id=1TGVIO8JNlsLhZ2jk1DZh4RTGpsFwOKpk"),110%,10,10
=IMAGE("https://drive.google.com/uc?export=view&id=17phUuWQmaTYjrg6m_EyQrgjvdVjwLJP-"),110%,7,7
=IMAGE("https://drive.google.com/uc?export=view&id=1Hg0RqJpzgGR-nIckM71DHb47Pv8cxYVX"),100%,8,8
=IMAGE("https://drive.google.com/uc?export=view&id=1G3x_JJbYIlDBFDkGhV0RNz2VBbc3QE_Y"),99%,9,9
=IMAGE("https://drive.google.com/uc?export=view&id=1jtrvS3B6rA_0DAscLOvIz5rcfPeht9B0"),95%,7,7
