Team,Damage,Coreflame,Max Coreflame
=IMAGE("https://drive.google.com/uc?export=view&id=1MdWt3LIQE9fFSB7ascuaHjB7Oz02LcTc"),96%,7,7
=IMAGE("https://drive.google.com/uc?export=view&id=1euE31E-HNP5P6eX8UFcLxZ2vt8evpN3Z"),90%,6,6
=IMAGE("https://drive.google.com/uc?export=view&id=1OnuL_cOhGDeu4YdAcDeZMZ-ZDLfHzqhd"),89%,5,7
=IMAGE("https://drive.google.com/uc?export=view&id=1YJT497D9_S4jGMvraS2mkox_mQ5GA8X9"),87%,2,4
=IMAGE("https://drive.google.com/uc?export=view&id=1Dsq0ygunYA2MgPeFirgsbBA2ck0hHmeR"),85%,5,7
=IMAGE("https://drive.google.com/uc?export=view&id=1Z_mtUjw5zjdDdibbagvZF9LcHdIc1-Nv"),85%,4,4
=IMAGE("https://drive.google.com/uc?export=view&id=1Lz-Kg90PLkWvqw2bvK5ds2JaEi6ttWO1"),84%,?,?
=IMAGE("https://drive.google.com/uc?export=view&id=1wbacgZh9cGfYi_PbbQwSjl5Y0_VauT1A"),84%,4,6
=IMAGE("https://drive.google.com/uc?export=view&id=16IKIZIWOhzAPIaHnaIlrzetM0xdvMV4J"),84%,3,5
=IMAGE("https://drive.google.com/uc?export=view&id=1iZAOYrAu5ZuioovJb7YDAVmC1T1pstsw"),83%,3,5
=IMAGE("https://drive.google.com/uc?export=view&id=1ggLcam2fe5RVk-gb2MdlvRAlTI2TdG2_"),82%,8,8
=IMAGE("https://drive.google.com/uc?export=view&id=1G-TJdnQ2w-c1wzYfunCnJuYkHR73YhWl"),82%,?,?
=IMAGE("https://drive.google.com/uc?export=view&id=1yXvj9ZbqXZ0jpD-xn9SWZuzv6J81Lv0S"),82%,?,?
=IMAGE("https://drive.google.com/uc?export=view&id=19vyRWGRczRbNxbYs3zZScNecdb1Qi__W"),81%,?,?
=IMAGE("https://drive.google.com/uc?export=view&id=1lvmXn2YZCIL9OBQ7LI5TVeuUzwlCQ5q5"),79%,4,4
=IMAGE("https://drive.google.com/uc?export=view&id=1AoKvqz8uybHhIJzLXazfhZBN7Cyt1mjS"),78%,?,?
=IMAGE("https://drive.google.com/uc?export=view&id=1LfiQh1ptMQLtjanJY-DmF79AxT96RBAw"),78%,?,?
=IMAGE("https://drive.google.com/file/d/1f3RGVTIIWSU3ojaIb0sXsNy_Ul4jUjXz/view?usp=sharing"),76%,?,?
=IMAGE("https://drive.google.com/uc?export=view&id=1WmZWgQgTt5IWdEgFaEmWmSyggFQTo13X"),76%,?,?
=IMAGE("https://drive.google.com/uc?export=view&id=117YwcOs1iCwxm92kEdTtCtYz8Ptu_h7S"),75%,?,?
=IMAGE("https://drive.google.com/uc?export=view&id=1d_yd24uoBib0_U2nvKg2agtLkApC6eHe"),75%,?,?
=IMAGE("https://drive.google.com/uc?export=view&id=1Wr3KJAX5WH-Saa8jGjju2-riaICFveWw"),74%,?,?
=IMAGE("https://drive.google.com/file/d/1HNVEdFrQ3yQTLhqFGtlwiNJz-4o38fbF/view?usp=sharing"),72%,?,?
=IMAGE("https://drive.google.com/file/d/1HqqX-ZluSA0nr7CSuUfQYTn6S6h2awil/view?usp=sharing"),72%,?,?
=IMAGE("https://drive.google.com/uc?export=view&id=1oBCHRAA9Hefj_6CH3OQcr02qLTel-D3U"),71%,?,?
=IMAGE("https://drive.google.com/uc?export=view&id=1jwtXtv9GNbxghrMzqmbeJIWMcOtExYRF"),69%,?,?
=IMAGE("https://drive.google.com/file/d/1NsgMcDi-lwNaYbrD1E9v1Cjk588RmJrD/view?usp=sharing"),68%,?,?
=IMAGE("https://drive.google.com/uc?export=view&id=1ZSGProux3kJlhRqtv6bkCnocI_hwnY92"),65%,?,?
=IMAGE("https://drive.google.com/uc?export=view&id=13oF_Mfxyvdc8O_hyOm3ur1Z02vnh0HuX"),65%,?,?
=IMAGE("https://drive.google.com/file/d/1wqUeIRRHlqXkibmImcF0IM2xbVVv3G5d/view?usp=sharing"),59%,?,?
