Team,Damage,Coreflame,Max Coreflame
=IMAGE("https://drive.google.com/uc?export=view&id=19qmIBvvi9tnpNfT_j73PpGueDAvtgBaQ"),94%,8,9
=IMAGE("https://drive.google.com/uc?export=view&id=17cqqPI1uccAleXxkWaViFULpSk6hwR6e"),87%,8,9
=IMAGE("https://drive.google.com/uc?export=view&id=1Y6N8ajyVF4mRfPQu6PWm_fPFxeHVCNFL"),86%,7,8
=IMAGE("https://drive.google.com/uc?export=view&id=1r7MUOw11kOdb-CTM-2ubpiqiETKx4pRu"),84%,6,8
=IMAGE("https://drive.google.com/uc?export=view&id=1YBf6OmBErZ_31twP8U3EZe7Ov-rYJd5K"),84%,6,6
=IMAGE("https://drive.google.com/uc?export=view&id=1DQGwpSLk6KuUec1cBKfKSXGrmXZBDZX1"),82%,11,13
=IMAGE("https://drive.google.com/uc?export=view&id=1nvLWjCPSoCHPjxGWzKxXdMOi916ZVr_k"),82%,6,6
=IMAGE("https://drive.google.com/uc?export=view&id=18GhpztTm0YsoUy2cgRV-CchBtzsIdhw3"),81%,9,10
=IMAGE("https://drive.google.com/uc?export=view&id=1FSyWE0nIIGWEYGELoyfWGIbUfZdccPBX"),81%,5,7
=IMAGE("https://drive.google.com/uc?export=view&id=1Id-tJk5BrsRPM8Z15ctsNnrZJZnM1r75"),81%,4,4
=IMAGE("https://drive.google.com/uc?export=view&id=1xQA8fR7mGW56B9zauSCG8c1XlFwJ6DFn"),80%,?,?
=IMAGE("https://drive.google.com/uc?export=view&id=1L3VyXHPCIS4-BcYUx1amc_H11sZ1Xd5W"),80%,7,7
=IMAGE("https://drive.google.com/uc?export=view&id=1FzFjAx8ulLUXOzCdkHhDEUBJHR3VXih-"),80%,?,?
=IMAGE("https://drive.google.com/uc?export=view&id=18ySZIyZJn634KRuXEjMreAqW41JCAJIz"),79%,?,?
=IMAGE("https://drive.google.com/uc?export=view&id=1gqI8Rq_0ZjliJPNEi-OOE_32rQW_gJDK"),75%,?,?
=IMAGE("https://drive.google.com/uc?export=view&id=1Z31LrKsS0OY0bVtz39-Cw23q0nzZc_DS"),75%,?,?
=IMAGE("https://drive.google.com/file/d/15wAZu3sz0mCO4Fxf9VwEkculRIa3yjL7/view?usp=sharing"),74%,?,?
=IMAGE("https://drive.google.com/uc?export=view&id=1AZGM7Zs5vrHCdqe7mEFUVQC6c4hFfR-L"),74%,?,?
=IMAGE("https://drive.google.com/uc?export=view&id=1K6Lzzukvv8APH8m0QU3i-FhAbvH9Ypbj"),74%,?,?
=IMAGE("https://drive.google.com/uc?export=view&id=1sLIDaedow4cHhsfhTS3owuqFcoHtHAvY"),71%,?,?
=IMAGE("https://drive.google.com/uc?export=view&id=1FDJkrMRm1-jizZeXuVf8ji_zLbS63H0u"),71%,?,?
=IMAGE("https://drive.google.com/uc?export=view&id=18VmgdFPZDALUqon6Jy12IZ41DrPAYao1"),71%,?,?
=IMAGE("https://drive.google.com/file/d/1wmLn86Vk_9Pw9Kol_CnCGAk6yHuwA4Yd/view?usp=sharing"),70%,?,?
=IMAGE("https://drive.google.com/uc?export=view&id=1wwfP-mqKZP-UFRweEe1H1Z0t2DRWjV_m"),69%,?,?
=IMAGE("https://drive.google.com/file/d/19L6xaGQ3Je7QzkDecmHdR4kMHh-ZCLKU/view?usp=sharing"),68%,?,?
=IMAGE("https://drive.google.com/uc?export=view&id=1SOGNe_5fmZAWnShiUpS4wHrgoNcNUclQ"),66%,?,?
=IMAGE("https://drive.google.com/file/d/1yV5iJffU1905qQCBnotOwy_AIxgWRqiI/view?usp=sharing"),64%,?,?
=IMAGE("https://drive.google.com/uc?export=view&id=1RjiQBkQVVzTuwC78vHM1bsPFRjafGfrh"),62%,?,?
=IMAGE("https://drive.google.com/uc?export=view&id=1GvaTH6RVcudtItrjyJ5uxXFBaPjWdAn9"),62%,?,?
=IMAGE("https://drive.google.com/file/d/1yk7qrIMIq7OmM-_sff9VBjKKX8jnLnXD/view?usp=sharing"),57%,?,?
