Team,Damage,Coreflame,Max Coreflame
=IMAGE("https://drive.google.com/uc?export=view&id=1NsGDgx0LvK2Oj6ykEDQUuqQgRQwpUZ3W"),102%,10,10
=IMAGE("https://drive.google.com/uc?export=view&id=13gfJAJZ5nsk7Uk5aNFc5ZXazNLaenapi"),95%,8,10
=IMAGE("https://drive.google.com/uc?export=view&id=1zHmFAOBcua9qQxM04YEy7RNxT-fiDaFt"),93%,9,9
=IMAGE("https://drive.google.com/uc?export=view&id=1nByHNGk1du72m3JE9KO4ASpYaN3g0CpR"),92%,8,8
=IMAGE("https://drive.google.com/uc?export=view&id=1KlKilOBaa0NikHzAZiEOsMV76aI67dJo"),90%,8,10
=IMAGE("https://drive.google.com/uc?export=view&id=1QHCQlmejpO7eYK4ugNllh07kfi0s88Qi"),89%,6,8
=IMAGE("https://drive.google.com/uc?export=view&id=1g7yey6Zdea1KfNxRlSuXchiOl5xa94f1"),88%,11,13
=IMAGE("https://drive.google.com/uc?export=view&id=1rdxP7PaUaQz-U2_ZTI5zOSrDvqFKoiXp"),88%,11,11
=IMAGE("https://drive.google.com/uc?export=view&id=1eBq-hEup6h2kalVcyY36AZT0v1Zy8npC"),87%,8,8
=IMAGE("https://drive.google.com/uc?export=view&id=1-CRM7AqSHNWnxHYqjKCmCnHpHT0vmZWj"),87%,7,7
=IMAGE("https://drive.google.com/uc?export=view&id=1YyoQ_oalINxTdibAcox3ybAYl8ykHKbA"),86%,7,9
=IMAGE("https://drive.google.com/uc?export=view&id=1Tkyg_vALf3rm5n8ZOk5BAo1cIRfx4Icb"),86%,?,?
=IMAGE("https://drive.google.com/uc?export=view&id=1HS53rv-Gv2xO6nZkxOX90AsB_eaUoG1U"),86%,?,?
=IMAGE("https://drive.google.com/uc?export=view&id=1F-x5AfbNkFdjfoIe7-daP2JSG4v46VnO"),86%,?,?
=IMAGE("https://drive.google.com/file/d/1BRIOqajL9pGdaot5u0vCtrJqQdFQaatO/view?usp=sharing"),81%,?,?
=IMAGE("https://drive.google.com/uc?export=view&id=1GYv0gr_Obtjyf0KUohisz-4uAobQ8Yr8"),81%,?,?
=IMAGE("https://drive.google.com/uc?export=view&id=1SptGrCZdYRzMSoQ1OdtcsPBQJWVdNMxC"),80%,?,?
=IMAGE("https://drive.google.com/uc?export=view&id=1R_HcxJcIXuAIDo4CCKyuokroNLoh0ATZ"),80%,?,?
=IMAGE("https://drive.google.com/uc?export=view&id=1-xaCAcMysO9tZ1PnKSmpouwMpOypY-Ug"),79%,?,?
=IMAGE("https://drive.google.com/uc?export=view&id=1hEeu6xGC06Ljmk8vZ1-Y0n6ChKgEkNwK"),77%,?,?
=IMAGE("https://drive.google.com/uc?export=view&id=1j4t41hz-ItPIRizRFjMdYGQLUWa938bJ"),77%,?,?
=IMAGE("https://drive.google.com/uc?export=view&id=1IbUfeFcAOT9AVfgKqXatRAjVtLwOyxBT"),76%,?,?
=IMAGE("https://drive.google.com/file/d/19iTGUBhNDlgGeTc6O2DW8B7qPFyrm00R/view?usp=sharing"),76%,?,?
=IMAGE("https://drive.google.com/file/d/1A8likDCNT9BL5fEllgOcoWyejuI_NhrK/view?usp=sharing"),74%,?,?
=IMAGE("https://drive.google.com/uc?export=view&id=1mr8WJHWObv64C0b8lksaqZcP1jSj_Cwt"),74%,?,?
=IMAGE("https://drive.google.com/uc?export=view&id=1-2wggafGpkohWBCKzgbp-4yOaglu_XX-"),71%,?,?
=IMAGE("https://drive.google.com/file/d/1DZG--cIH7YA_rO2_iw3VI8PHs2x_c1mP/view?usp=sharing"),69%,?,?
=IMAGE("https://drive.google.com/uc?export=view&id=1rf3kkHeQnjhz6cRi_VDdPAm5cB0YB8QM"),67%,?,?
=IMAGE("https://drive.google.com/uc?export=view&id=1kxVRWun7IPkEB0clcUjHHdsNGKscOOnZ"),66%,?,?
=IMAGE("https://drive.google.com/file/d/1qP4lij2M4L8xrozFq51o6bFC-HX96fk3/view?usp=sharing"),61%,?,?
