Team,Damage,Coreflame,Max Coreflame
=IMAGE("https://drive.google.com/file/d/1qO-yQPT8W5Vd9l3SCubQi1NMPe1negm4/view?usp=sharing"),104%,?,?
=IMAGE("https://drive.google.com/file/d/1qh0ursxl8VADFvGZucyIIrjR9mLoZ723/view?usp=sharing"),102%,?,?
=IMAGE("https://drive.google.com/file/d/15Rbxij31XZUGkRAAfOgwbyQD3HzJrCz8/view?usp=sharing"),96%,?,?
=IMAGE("https://drive.google.com/file/d/1BR0ZMwLGAHMmnMpHUIU4YQAJb6NRcoxc/view?usp=sharing"),95%,?,?
=IMAGE("https://drive.google.com/file/d/1ULMCGjmzySajLv3CM9SJSw52wEA7dDPY/view?usp=sharing"),92%,?,?
=IMAGE("https://drive.google.com/file/d/1xZ-SNAbFdGlTZS3nTtVYZuKmxYkceupc/view?usp=sharing"),88%,?,?
=IMAGE("https://drive.google.com/file/d/18WYAVldI_yinKOLEMtnP9mLgvlBWbShK/view?usp=sharing"),88%,?,?
=IMAGE("https://drive.google.com/file/d/1WNcqP0vJaqRpzToZN6qL2hNpU_dOEyKF/view?usp=sharing"),84%,?,?
=IMAGE("https://drive.google.com/file/d/18l6xjvi3rV90HSNX5r9NT78QRDexg74J/view?usp=sharing"),79%,?,?
=IMAGE("https://drive.google.com/file/d/1cTdOrH0IYMfjmVMROmNnE52ybX73eVAK/view?usp=sharing"),76%,?,?
