Team,Damage,Coreflame,Max Coreflame
=IMAGE("https://drive.google.com/uc?export=view&id=1PJmEp3_lUyOqNMGi6Tv5fko3tMIuYwHe"),121%,10,12
=IMAGE("https://drive.google.com/uc?export=view&id=19Z4l6bM2hdiVGf5ai3c8_Y9fvPPKvEA7"),113%,10,12
=IMAGE("https://drive.google.com/uc?export=view&id=1kSqXXDDasrzioBIuPzNgCopXof5QjWl9"),110%,7,7
=IMAGE("https://drive.google.com/uc?export=view&id=19Z7x3JsB_IUUtkNwGlt6DedBKqpurqJK"),108%,9,9
=IMAGE("https://drive.google.com/uc?export=view&id=1mGD1yxD7fivCLRURNEx6DryXmmYF-d6o"),107%,7,7
=IMAGE("https://drive.google.com/uc?export=view&id=17xpmBaoZx8M0FQlVlYFa87xpzspysj6V"),105%,8,10
=IMAGE("https://drive.google.com/uc?export=view&id=1INNOGkygeqno7MSal1hhCtc-7RrOQkIi"),104%,7,7
=IMAGE("https://drive.google.com/uc?export=view&id=19HXItIygI7kMkni24oIOTJf1TyugD6di"),104%,11,13
=IMAGE("https://drive.google.com/uc?export=view&id=128-0-sMA6EAq6uvwg_uV_M6-4ICHIrwT"),103%,?,?
=IMAGE("https://drive.google.com/uc?export=view&id=1UaIvJgNpUXkVjpSMAsUlKEPDZi1mo7PN"),102%,?,?
=IMAGE("https://drive.google.com/uc?export=view&id=14617NgLsAaiumDG3DI1CnJ5zpsAB8paB"),101%,7,9
=IMAGE("https://drive.google.com/uc?export=view&id=1ul0Pbt0WriYsvq6Zk_mOy5qau7fKUAyj"),100%,?,?
=IMAGE("https://drive.google.com/uc?export=view&id=1OnBFUesVCMAVnisIK8SxWTBJR0LtIJMl"),96%,7,7
=IMAGE("https://drive.google.com/file/d/1OYMb1gwRdQLMnTGeZQYyLWCfyHq6ep5t/view?usp=sharing"),96%,?,?
=IMAGE("https://drive.google.com/uc?export=view&id=1NBGwQTlGLYWOgnZFtGFWYMZbJbMWDI-4"),94%,?,?
=IMAGE("https://drive.google.com/uc?export=view&id=1pWJTtbwAgbT88vFyrMsz-D_GCro2Gyyy"),93%,?,?
=IMAGE("https://drive.google.com/file/d/1WPk8RMw7PTWZEQ1zUjDFOdDbujWYwNoR/view?usp=sharing"),91%,?,?
=IMAGE("https://drive.google.com/uc?export=view&id=1PwuKejKf2fbkz_Y7RF9R_-SlNGSu1T-l"),91%,?,?
=IMAGE("https://drive.google.com/uc?export=view&id=12JMIYSNUQDI3PFzcRc5I_cJedDG1Hs4O"),89%,?,?
=IMAGE("https://drive.google.com/file/d/1ief6Y7Sqv2SIwluFNiNq2eZI_8n_zPpg/view?usp=sharing"),86%,?,?
=IMAGE("https://drive.google.com/uc?export=view&id=1-B2ZmLV-8XmrTYqGz5mXxvNlV7nZWXng"),85%,?,?
=IMAGE("https://drive.google.com/uc?export=view&id=1kqtYcHG-_dVESRZP6AOTQEURVzFDHfpO"),83%,?,?
=IMAGE("https://drive.google.com/file/d/1rVO0azIKQzulpiyiC_vm5QDJmmYtd2ce/view?usp=sharing"),82%,?,?
=IMAGE("https://drive.google.com/uc?export=view&id=1HXQMXhOQtdfqC6ascq4vDQdW1StaGY9R"),78%,?,?
=IMAGE("https://drive.google.com/file/d/1mHyQjUGvqPZTY5dyq7ty7KtVPBpGL1fz/view?usp=sharing"),71%,?,?
