Team,Damage,Coreflame,Max Coreflame
=IMAGE("https://drive.google.com/uc?export=view&id=1ofYmCsFTovcQx0T5nxivueJJrnO-ud8r"),114%,9,11
=IMAGE("https://drive.google.com/uc?export=view&id=1ALuD_9-hiXwpMuHPonX7Kz_xn798oT19"),108%,10,11
=IMAGE("https://drive.google.com/uc?export=view&id=1ABKvbgY_EzOnJ8H69aN7dHfWT5a8fLaJ"),105%,8,10
=IMAGE("https://drive.google.com/uc?export=view&id=15jRNGSl7HFwPQprctlj1PAW22cVVPo1Q"),103%,8,8
=IMAGE("https://drive.google.com/uc?export=view&id=1xPPue1MtMVBeSuOs2wYoPjcGGyyiDC7n"),102%,10,10
=IMAGE("https://drive.google.com/uc?export=view&id=1qJahkkzsCs0idvZRnxTDAgyCU3zMXb13"),95%,9,9
=IMAGE("https://drive.google.com/uc?export=view&id=1JAqNqng5Le-TFVPGYOpilvQ__O0Bg4q3"),94%,11,11
=IMAGE("https://drive.google.com/uc?export=view&id=1raBC1rhyYWNlhopS143trGe-nmHF4JZr"),93%,9,9
=IMAGE("https://drive.google.com/uc?export=view&id=1lNtKkxuxqtq93KU2O4nRhEd9WtRCsooE"),85%,10,10
=IMAGE("https://drive.google.com/uc?export=view&id=1NlOtStLCzximF6GJ-VHjcRG60Lf-y-Zc"),82%,8,8
