Team,Damage,Coreflame,Max Coreflame
=IMAGE("https://drive.google.com/uc?export=view&id=1sBQeeERP3senVX4gKGpu0M9QTecg7rjP"),121%,8,10
=IMAGE("https://drive.google.com/uc?export=view&id=19hyxo4uNni0eETz3HQedqh2FmFJ9g5NU"),119%,9,11
=IMAGE("https://drive.google.com/uc?export=view&id=1pK7dDW-PNkBhjsPE0BX4SG8rRqxhbuPW"),111%,9,9
=IMAGE("https://drive.google.com/uc?export=view&id=1KCQxMuS2QvRYaP7NG2SlxqanYZyM_bT7"),111%,7,9
=IMAGE("https://drive.google.com/uc?export=view&id=1jJh4TZVGHXfIQSWMDeEr0ylDoSUIrQ1n"),107%,7,7
=IMAGE("https://drive.google.com/uc?export=view&id=18WDqiLEQJkkVTgdHiogP6RH7HgE4lLcr"),103%,8,8
=IMAGE("https://drive.google.com/uc?export=view&id=1-DpCWaMaZBgh7Td9jzVbqnut2ThSB1Oe"),102%,8,10
=IMAGE("https://drive.google.com/uc?export=view&id=1HuygYfmEcI5OmwuGzuGIheYkMN89RtPc"),97%,6,8
=IMAGE("https://drive.google.com/uc?export=view&id=1wOk_qWnGLNHtlgSUMDo11breZoZqTYj3"),92%,7,9
=IMAGE("https://drive.google.com/uc?export=view&id=1gW-JT4Z2GYXCPeJ5XzdlVr-WgCXD-cdl"),88%,7,7
