Team,Damage,Coreflame,Max Coreflame
=IMAGE("https://drive.google.com/uc?export=view&id=1Zuh-kupWAtSRT2MuEwmhMJZ7dw5jMk8M"),113%,6,8
=IMAGE("https://drive.google.com/uc?export=view&id=1qTQOjgernI2FnWs0CzB6ch7nmwWEgftS"),110%,7,11
=IMAGE("https://drive.google.com/uc?export=view&id=1RQk3JR4BCVjIfNZ6L5CmLwKFDT2o5-R9"),107%,5,7
=IMAGE("https://drive.google.com/uc?export=view&id=1fcSZxizP5prWf0oaaWsdiXxwoiDM11GM"),102%,9,9
=IMAGE("https://drive.google.com/uc?export=view&id=1nTEUAq3YwqsTnvisccDSfn42pD1ksYZc"),101%,7,7
=IMAGE("https://drive.google.com/uc?export=view&id=1rybuIfwYkjwWAilp0vGpc-9Dx8O5wVB5"),100%,8,8
=IMAGE("https://drive.google.com/uc?export=view&id=1xj6b5P1e3HfglhOLH458ItNMNzelUO4f"),97%,8,10
=IMAGE("https://drive.google.com/uc?export=view&id=1MX7ADWGXOL0_z6QqLnSjAIhRJSyKMdB_"),96%,6,6
=IMAGE("https://drive.google.com/uc?export=view&id=18jr_ZXwI9OscMU97mwoyXDxdOuX_8wEZ"),93%,7,9
=IMAGE("https://drive.google.com/uc?export=view&id=179BzgRgNm7Cv78izbmiRbsakvyX1_X1i"),87%,7,7
