Team,Damage,Coreflame,Max Coreflame
=IMAGE("https://drive.google.com/uc?export=view&id=1TOn1UYGEFP6NoXXHxbd8izYL7pwjFk6V"),119%,10,12
=IMAGE("https://drive.google.com/uc?export=view&id=1XXXVy60_DnNdY2GTpI21VBq92-YRoPZy"),109%,12,12
=IMAGE("https://drive.google.com/uc?export=view&id=1G7KEur-HaWxovYAhLH0WCYgp4efFGCUK"),108%,11,11
=IMAGE("https://drive.google.com/uc?export=view&id=1HDX1hHKRA4miAPT10TJiPCge_dGSfLc3"),106%,12,12
=IMAGE("https://drive.google.com/uc?export=view&id=1q0QXU6yVEKdP4kJfgYZpl_TlEYkpQ0u8"),105%,9,13
=IMAGE("https://drive.google.com/uc?export=view&id=1Iccap2mg8wtgck-34y2lVMVgMhyHhnnc"),100%,8,10
=IMAGE("https://drive.google.com/uc?export=view&id=1_QKG_mhkjlPfaqRmInHfGvlWmpqh6fTH"),99%,10,14
=IMAGE("https://drive.google.com/uc?export=view&id=1pM-L7_9I-qK-KSt65bXlGlGIPSatTHw9"),94%,12,12
=IMAGE("https://drive.google.com/uc?export=view&id=1M3MA_0UQx4w_5VfJ_irBBsNogryhg_Oy"),94%,10,10
=IMAGE("https://drive.google.com/uc?export=view&id=1XTWrQBUX6FSkR9WAHjJ8b3CJSyMvPr96"),86%,11,11
