Team,Damage,Coreflame,Max Coreflame
=IMAGE("https://drive.google.com/uc?export=view&id=1CEjVngWCa790TaOEEuUU0n6ZJMvqccWb"),128%,9,11
=IMAGE("https://drive.google.com/uc?export=view&id=1qZZOU-t5vvupZh8C36XHYFJcvrCMHdww"),125%,8,10
=IMAGE("https://drive.google.com/uc?export=view&id=1sBQeeERP3senVX4gKGpu0M9QTecg7rjP"),121%,8,10
=IMAGE("https://drive.google.com/uc?export=view&id=1PJmEp3_lUyOqNMGi6Tv5fko3tMIuYwHe"),121%,10,12
=IMAGE("https://drive.google.com/uc?export=view&id=1tn9satmprwDuJXutzFplpcytw3HkRvDe"),120%,9,9
=IMAGE("https://drive.google.com/uc?export=view&id=1TOn1UYGEFP6NoXXHxbd8izYL7pwjFk6V"),119%,10,12
=IMAGE("https://drive.google.com/uc?export=view&id=19hyxo4uNni0eETz3HQedqh2FmFJ9g5NU"),119%,9,11
=IMAGE("https://drive.google.com/uc?export=view&id=1GlGbJcxgnq64qzH_nKniM1DDPA0-QbDP"),115%,8,10
=IMAGE("https://drive.google.com/uc?export=view&id=1ofYmCsFTovcQx0T5nxivueJJrnO-ud8r"),114%,9,11
=IMAGE("https://drive.google.com/uc?export=view&id=1Zuh-kupWAtSRT2MuEwmhMJZ7dw5jMk8M"),113%,6,8
